playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","8.8465","null","null","null","2","null","null","0.6767","null","null","null","9.6187","5.8","3.0363","null",
"2553112","null","Jason Myers","K","JAC","K","JAC","null","8.7894","null","null","null","11","null","null","0.4571","null","null","null","11.1093","6.7","6.7261","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","8.7789","null","null","null","22","null","null","0.061","null","null","null","9.4114","5.3","4.2996","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","null","8.763","null","null","null","23","null","null","0.1054","null","null","null","9.6723","5","5.7178","null",
"2543711","null","Telvin Smith","LB","JAC","LB","JAC","null","8.6952","null","null","null","4","null","null","0.0251","null","null","null","8.9364","8.2","null","null",
"2543488","null","Jarvis Landry","WR","MIA","WR","MIA","null","8.6728","null","null","null","24","null","null","0.065","null","null","null","8.9894","7.5","5.2915","null",
"2506889","null","DQwell Jackson","LB","IND","LB","IND","null","8.6725","null","null","null","5","null","null","0.2474","null","null","null","8.6889","8.65","null","null",
"496937","null","Sean Lee","LB","DAL","LB","DAL","null","8.6677","null","null","null","6","null","null","0.6124","null","null","null","8.8955","8.2","null","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","8.6424","null","null","null","25","null","null","0.1478","null","null","null","8.9836","5.2","4.2507","null",
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","null","8.6347","null","null","null","29","null","null","0.4318","null","null","null","10.3879","5.15","4.3534","null",
"2533033","null","Robert Griffin","QB","CLE","QB","CLE","null","8.6106","null","null","null","32","null","null","2.6211","null","null","null","14.9662","0","13.2974","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","8.5732","null","null","null","26","null","null","0.1603","null","null","null","9.1833","6.4","5.0335","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","null","8.4732","null","null","null","30","null","null","0.5982","null","null","null","9.2309","5.97","7.1963","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","8.4161","null","null","null","27","null","null","0.1104","null","null","null","9.5438","5.72","4.3738","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","null","8.4159","null","null","null","12","null","null","0.2812","null","null","null","9.0828","7.4239","4.3681","null",
"496739","null","Reshad Jones","DB","MIA","DB","MIA","null","8.4122","null","null","null","1","null","null","0.7122","null","null","null","8.8221","7.85","null","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","null","8.4096","null","null","null","28","null","null","0.2636","null","null","null","10.1117","6.34","4.3225","null",
"100014","null","Colts","DST","IND","DST","IND","null","8.4087","null","null","null","13","null","null","0.5168","null","null","null","10.3628","6.85","8.4104","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.3072","null","null","null","3","null","null","0.4693","null","null","null","10.2803","6.38","3.0904","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","null","8.2486","null","null","null","13","null","null","0.325","null","null","null","9.9939","5.8","7.4296","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","8.2215","null","null","null","14","null","null","0.7612","null","null","null","10.5117","6.15","8.2189","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","8.202","null","null","null","29","null","null","0.1173","null","null","null","9.0344","5.3","6.1455","null",
"2508088","null","NaVorro Bowman","LB","SF","LB","SF","null","8.1825","null","null","null","7","null","null","0.2835","null","null","null","8.2227","8.1","null","null",
"2550353","null","Allen Hurns","WR","JAC","WR","JAC","null","8.09","null","null","null","30","null","null","0.0204","null","null","null","8.599","5.8","4.7891","null",
